한국제11호스팩,436610,금융 지원 서비스업,기업인수합병,2022.10.20,12월,윤건수,,서울특별시
샤페론,378800,기초 의약물질 및 생물학적 제제 제조업,합성신약 및 항체치료제신약 기술제품 및 기술이전,2022.10.19,12월,성승용,http://shaperon.com,서울특별시
비스토스,419540,의료용 기기 제조업,환자 및 태아감시장치,2022.10.18,12월,이후정,http://www.bistos.co.kr/korean,경기도
탑머티리얼,360070,일차전지 및 축전지 제조업,"이차전지 시스템 엔지니어링, 전극소재, 양극소재",2022.10.18,12월,노환진,http://www.topmaterial.co.kr,경기도
에스비비테크,389500,일반 목적용 기계 제조업,"베어링, 감속기",2022.10.17,12월,류재완,http://www.sbb.co.kr/,경기도
오에스피,368970,동물용 사료 및 조제식품 제조업,프리미엄 반려동물 사료,2022.10.14,12월,강재구,,충청남도
모델솔루션,417970,특수 목적용 기계 제조업,"하이엔드 프로토타입 제조, 다품종 소량생산 서비스",2022.10.7,12월,우병일,http://www.model-solution.com,서울특별시
이노룰스,296640,소프트웨어 개발 및 공급업,"InnoRules, InnoProduct",2022.10.7,12월,김길곤,http://innorules.com,서울특별시
파인엠텍,441270,전자부품 제조업,IT부품,2022.10.7,12월,이재규,http://www.finemtec.com,경기도
SK증권제8호스팩,435870,금융 지원 서비스업,기업인수목적회사,2022.10.6,12월,김석,,서울특별시
유안타제10호스팩,435380,금융 지원 서비스업,기업인수목적회사,2022.10.6,12월,고민호,,서울특별시
선바이오,67370,의약품 제조업,"PEG유도체 제품 (62%), 기술료수입 (38%)",2022.10.5,12월,노광,http://www.sunbio.com,경기도
더블유씨피,393890,일차전지 및 축전지 제조업,이차전지용 분리막,2022.9.30,12월,최원근,,충청북도
알피바이오,314140,의약품 제조업,연질캡슐 제형의 의약품 및 건강기능식품,2022.9.29,12월,윤재훈,http://rpskorea.com,서울특별시
하나금융24호스팩,430230,금융 지원 서비스업,기업인수합병,2022.9.29,12월,이황상,,서울특별시
한화플러스제3호스팩,430460,금융 지원 서비스업,기업 인수 합병,2022.9.29,12월,류창우,http://hanwha-plus-no3spac.com,서울특별시
오픈엣지테크놀로지,394280,소프트웨어 개발 및 공급업,시스템 반도체 IP,2022.9.26,12월,이성현,http://www.openedges.com,서울특별시
케이비제22호스팩,436530,금융 지원 서비스업,기업인수목적,2022.9.22,12월,오동출,,서울특별시
키움제7호스팩,433530,금융 지원 서비스업,기업 인수합병,2022.9.7,12월,박정근,,서울특별시
신영스팩8호,430220,금융 지원 서비스업,기업인수,2022.8.26,12월,변 해 봉,,서울특별시
대성하이텍,129920,특수 목적용 기계 제조업,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터",2022.8.22,12월,"최우각, 최호형",http:///www.topdsht.com/,대구광역시
에이치와이티씨,148930,기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품,2022.8.9,12월,성보경,http://www.hyseoul.com,경기도
새빗켐,107600,기타 화학제품 제조업,"폐전지재활용소재, 폐산재활용",2022.8.4,12월,박민규,http://www.sebitchem.com,경상북도
유안타제9호스팩,430700,금융 지원 서비스업,기업인수목적회사,2022.8.4,12월,현승철,,서울특별시
신한제10호스팩,418210,금융 지원 서비스업,금융서비스(기업인수목적 회사),2022.7.29,12월,왕선영,,서울특별시
아이씨에이치,368600,그외 기타 제품 제조업,스마트기기용 필름형 안테나,2022.7.29,12월,김영훈,http://www.ch-ich.com,경기도
